realtime_end,realtime_start,value,date
2019-04-05,2019-04-05,76094000,1900-01-01
2019-04-05,2019-04-05,77584000,1901-01-01
2019-04-05,2019-04-05,79163000,1902-01-01
2019-04-05,2019-04-05,80632000,1903-01-01
2019-04-05,2019-04-05,82166000,1904-01-01
2019-04-05,2019-04-05,83822000,1905-01-01
2019-04-05,2019-04-05,85450000,1906-01-01
2019-04-05,2019-04-05,87008000,1907-01-01
2019-04-05,2019-04-05,88710000,1908-01-01
2019-04-05,2019-04-05,90490000,1909-01-01
2019-04-05,2019-04-05,92407000,1910-01-01
2019-04-05,2019-04-05,93863000,1911-01-01
2019-04-05,2019-04-05,95335000,1912-01-01
2019-04-05,2019-04-05,97225000,1913-01-01
2019-04-05,2019-04-05,99111000,1914-01-01
2019-04-05,2019-04-05,100546000,1915-01-01
2019-04-05,2019-04-05,101961000,1916-01-01
2019-04-05,2019-04-05,103268000,1917-01-01
2019-04-05,2019-04-05,103208000,1918-01-01
2019-04-05,2019-04-05,104514000,1919-01-01
2019-04-05,2019-04-05,106461000,1920-01-01
2019-04-05,2019-04-05,108538000,1921-01-01
2019-04-05,2019-04-05,110049000,1922-01-01
2019-04-05,2019-04-05,111947000,1923-01-01
2019-04-05,2019-04-05,114109000,1924-01-01
2019-04-05,2019-04-05,115829000,1925-01-01
2019-04-05,2019-04-05,117397000,1926-01-01
2019-04-05,2019-04-05,119035000,1927-01-01
2019-04-05,2019-04-05,120509000,1928-01-01
2019-04-05,2019-04-05,121767000,1929-01-01
2019-04-05,2019-04-05,123076741,1930-01-01
2019-04-05,2019-04-05,124039648,1931-01-01
2019-04-05,2019-04-05,124840471,1932-01-01
2019-04-05,2019-04-05,125578763,1933-01-01
2019-04-05,2019-04-05,126373773,1934-01-01
2019-04-05,2019-04-05,127250232,1935-01-01
2019-04-05,2019-04-05,128053180,1936-01-01
2019-04-05,2019-04-05,128824829,1937-01-01
2019-04-05,2019-04-05,129824939,1938-01-01
2019-04-05,2019-04-05,130879718,1939-01-01
2019-04-05,2019-04-05,132122446,1940-01-01
2019-04-05,2019-04-05,133402471,1941-01-01
2019-04-05,2019-04-05,134859553,1942-01-01
2019-04-05,2019-04-05,136739353,1943-01-01
2019-04-05,2019-04-05,138397345,1944-01-01
2019-04-05,2019-04-05,139928165,1945-01-01
2019-04-05,2019-04-05,141388566,1946-01-01
2019-04-05,2019-04-05,144126071,1947-01-01
2019-04-05,2019-04-05,146631302,1948-01-01
2019-04-05,2019-04-05,149188130,1949-01-01
2019-04-05,2019-04-05,152271417,1950-01-01
2019-04-05,2019-04-05,154877889,1951-01-01
2019-04-05,2019-04-05,157552740,1952-01-01
2019-04-05,2019-04-05,160184192,1953-01-01
2019-04-05,2019-04-05,163025854,1954-01-01
2019-04-05,2019-04-05,165931202,1955-01-01
2019-04-05,2019-04-05,168903031,1956-01-01
2019-04-05,2019-04-05,171984130,1957-01-01
2019-04-05,2019-04-05,174881904,1958-01-01
2019-04-05,2019-04-05,177829628,1959-01-01
2019-04-05,2019-04-05,180671158,1960-01-01
2019-04-05,2019-04-05,183691481,1961-01-01
2019-04-05,2019-04-05,186537737,1962-01-01
2019-04-05,2019-04-05,189241798,1963-01-01
2019-04-05,2019-04-05,191888791,1964-01-01
2019-04-05,2019-04-05,194302963,1965-01-01
2019-04-05,2019-04-05,196560338,1966-01-01
2019-04-05,2019-04-05,198712056,1967-01-01
2019-04-05,2019-04-05,200706052,1968-01-01
2019-04-05,2019-04-05,202676946,1969-01-01
2019-04-05,2019-04-05,205052174,1970-01-01
2019-04-05,2019-04-05,207660677,1971-01-01
2019-04-05,2019-04-05,209896021,1972-01-01
2019-04-05,2019-04-05,211908788,1973-01-01
2019-04-05,2019-04-05,213853928,1974-01-01
2019-04-05,2019-04-05,215973199,1975-01-01
2019-04-05,2019-04-05,218035164,1976-01-01
2019-04-05,2019-04-05,220239425,1977-01-01
2019-04-05,2019-04-05,222584545,1978-01-01
2019-04-05,2019-04-05,225055487,1979-01-01
2019-04-05,2019-04-05,227224681,1980-01-01
2019-04-05,2019-04-05,229465714,1981-01-01
2019-04-05,2019-04-05,231664458,1982-01-01
2019-04-05,2019-04-05,233791994,1983-01-01
2019-04-05,2019-04-05,235824902,1984-01-01
2019-04-05,2019-04-05,237923795,1985-01-01
2019-04-05,2019-04-05,240132887,1986-01-01
2019-04-05,2019-04-05,242288918,1987-01-01
2019-04-05,2019-04-05,244498982,1988-01-01
2019-04-05,2019-04-05,246819230,1989-01-01
2019-04-05,2019-04-05,249464396,1990-01-01
2019-04-05,2019-04-05,252153092,1991-01-01
2019-04-05,2019-04-05,255029699,1992-01-01
2019-04-05,2019-04-05,257782608,1993-01-01
2019-04-05,2019-04-05,260327021,1994-01-01
2019-04-05,2019-04-05,262803276,1995-01-01
2019-04-05,2019-04-05,265228572,1996-01-01
2019-04-05,2019-04-05,267783607,1997-01-01
2019-04-05,2019-04-05,270248003,1998-01-01
2019-04-05,2019-04-05,272690813,1999-01-01
